,gamma,true_positives,false_positives,error
0,-6.0,0.0007692307692307692,0.0,0.6495000000000001
1,-5.878787878787879,0.0010769230769230769,0.0,0.6493
2,-5.757575757575758,0.0010769230769230769,0.0,0.6493
3,-5.636363636363637,0.0016923076923076924,0.0,0.6489
4,-5.515151515151516,0.002307692307692308,0.0,0.6485
5,-5.393939393939394,0.0032307692307692306,0.0,0.6479
6,-5.2727272727272725,0.004153846153846154,0.0,0.6473
7,-5.151515151515151,0.005384615384615384,0.0,0.6465
8,-5.03030303030303,0.006615384615384615,0.0,0.6457
9,-4.909090909090909,0.007846153846153846,0.0,0.6449
10,-4.787878787878788,0.010153846153846154,0.0,0.6434
11,-4.666666666666666,0.014307692307692308,0.0,0.6406999999999999
12,-4.545454545454545,0.017076923076923076,0.0,0.6389
13,-4.424242424242424,0.02123076923076923,0.0,0.6362
14,-4.303030303030303,0.027692307692307693,0.0,0.632
15,-4.181818181818182,0.03230769230769231,0.0,0.629
16,-4.0606060606060606,0.040615384615384616,0.0,0.6236
17,-3.9393939393939394,0.052153846153846155,0.0,0.6161000000000001
18,-3.8181818181818183,0.06292307692307693,0.0,0.6091
19,-3.696969696969697,0.07307692307692308,0.0,0.6025
20,-3.5757575757575757,0.08830769230769231,0.0,0.5926
21,-3.4545454545454546,0.10553846153846154,0.0,0.5814
22,-3.333333333333333,0.1236923076923077,0.0,0.5696
23,-3.212121212121212,0.1423076923076923,0.0,0.5575
24,-3.090909090909091,0.16507692307692307,0.0,0.5427
25,-2.9696969696969697,0.1896923076923077,0.0,0.5267000000000001
26,-2.8484848484848486,0.21953846153846154,0.0,0.5073
27,-2.727272727272727,0.24923076923076923,0.0,0.488
28,-2.606060606060606,0.2816923076923077,0.0,0.46690000000000004
29,-2.484848484848485,0.31476923076923075,0.0,0.4454
30,-2.3636363636363633,0.3493846153846154,0.0,0.4229
31,-2.242424242424242,0.3881538461538461,0.0,0.3977
32,-2.121212121212121,0.4269230769230769,0.0,0.3725
33,-2.0,0.46415384615384614,0.0,0.3483
34,-1.878787878787879,0.49984615384615383,0.0,0.3251
35,-1.7575757575757578,0.5366153846153846,0.0,0.3012
36,-1.6363636363636367,0.5786153846153846,0.0,0.2739
37,-1.5151515151515147,0.6130769230769231,0.00028571428571428574,0.2516
38,-1.3939393939393936,0.6506153846153846,0.00028571428571428574,0.2272
39,-1.2727272727272725,0.6858461538461539,0.00028571428571428574,0.2043
40,-1.1515151515151514,0.7178461538461538,0.00028571428571428574,0.1835
41,-1.0303030303030303,0.7515384615384615,0.00028571428571428574,0.1616
42,-0.9090909090909092,0.7813846153846153,0.00028571428571428574,0.1422
43,-0.7878787878787881,0.8092307692307692,0.0005714285714285715,0.12420000000000002
44,-0.6666666666666661,0.8333846153846154,0.0008571428571428571,0.10859999999999999
45,-0.545454545454545,0.8536923076923076,0.0037142857142857142,0.0964
46,-0.42424242424242387,0.8749230769230769,0.006,0.08340000000000002
47,-0.30303030303030276,0.894,0.009142857142857144,0.0721
48,-0.18181818181818166,0.9087692307692308,0.012285714285714285,0.0636
49,-0.06060606060606055,0.9246153846153846,0.019142857142857142,0.0557
50,0.06060606060606055,0.94,0.029142857142857144,0.0492
51,0.18181818181818166,0.9483076923076923,0.038,0.0469
52,0.30303030303030276,0.9566153846153846,0.04857142857142857,0.0452
53,0.42424242424242475,0.9636923076923077,0.060571428571428575,0.0448
54,0.5454545454545459,0.9706153846153847,0.08085714285714286,0.0474
55,0.666666666666667,0.9756923076923077,0.10171428571428572,0.0514
56,0.7878787878787881,0.9803076923076923,0.12942857142857142,0.05809999999999999
57,0.9090909090909092,0.9849230769230769,0.15485714285714286,0.064
58,1.0303030303030303,0.9876923076923076,0.18571428571428572,0.07300000000000001
59,1.1515151515151514,0.9903076923076923,0.22457142857142856,0.08489999999999999
60,1.2727272727272734,0.9929230769230769,0.26657142857142857,0.09789999999999999
61,1.3939393939393945,0.994,0.3077142857142857,0.11159999999999999
62,1.5151515151515156,0.9952307692307693,0.35914285714285715,0.1288
63,1.6363636363636367,0.9969230769230769,0.4105714285714286,0.1457
64,1.7575757575757578,0.9975384615384615,0.4605714285714286,0.16279999999999997
65,1.878787878787879,0.9978461538461538,0.512,0.1806
66,2.0,0.9981538461538462,0.5642857142857143,0.1987
67,2.121212121212121,0.9986153846153846,0.6122857142857143,0.2152
68,2.242424242424242,0.9989230769230769,0.6597142857142857,0.23159999999999997
69,2.3636363636363633,0.9992307692307693,0.708,0.24829999999999997
70,2.4848484848484844,0.9995384615384615,0.748,0.2621
71,2.6060606060606055,0.9996923076923077,0.7917142857142857,0.27729999999999994
72,2.7272727272727266,0.9998461538461538,0.8282857142857143,0.29
73,2.8484848484848495,1.0,0.8551428571428571,0.29929999999999995
74,2.9696969696969706,1.0,0.8777142857142857,0.3072
75,3.0909090909090917,1.0,0.9014285714285715,0.3155
76,3.212121212121213,1.0,0.9222857142857143,0.3228
77,3.333333333333334,1.0,0.9394285714285714,0.3288
78,3.454545454545455,1.0,0.9537142857142857,0.3338
79,3.575757575757576,1.0,0.9657142857142857,0.33799999999999997
80,3.6969696969696972,1.0,0.9765714285714285,0.3418
81,3.8181818181818183,1.0,0.9808571428571429,0.3433
82,3.9393939393939394,1.0,0.9848571428571429,0.3447
83,4.0606060606060606,1.0,0.9894285714285714,0.3463
84,4.181818181818182,1.0,0.9934285714285714,0.3477
85,4.303030303030303,1.0,0.9945714285714286,0.34809999999999997
86,4.424242424242424,1.0,0.9968571428571429,0.3489
87,4.545454545454545,1.0,0.9971428571428571,0.349
88,4.666666666666668,1.0,0.998,0.3493
89,4.787878787878789,1.0,0.9988571428571429,0.34959999999999997
90,4.90909090909091,1.0,0.9988571428571429,0.34959999999999997
91,5.030303030303031,1.0,0.9994285714285714,0.3498
92,5.151515151515152,1.0,0.9997142857142857,0.3499
93,5.272727272727273,1.0,0.9997142857142857,0.3499
94,5.3939393939393945,1.0,0.9997142857142857,0.3499
95,5.515151515151516,1.0,0.9997142857142857,0.3499
96,5.636363636363637,1.0,0.9997142857142857,0.3499
97,5.757575757575758,1.0,0.9997142857142857,0.3499
98,5.878787878787879,1.0,1.0,0.35
99,6.0,1.0,1.0,0.35
